,REGNO
1940,23SU2370034
940,23SU2370036
2185,23su237006
2232,23su2380003
794,23SU2380003
319,23SU2380005
2250,23SU2380010
1464,23SU2380011
1994,23SU2380014
754,23SU2380020
1849,23SU2380021
2234,23SU2380022
2110,23SU2380025
1516,23SU2400003
1467,23SU2400005
1962,23SU2400019
33,23SU2400020
2249,23SU2400025
1049,23SU2400028
1578,23SU2400029
2041,23su2400030
1099,23SU2400035
2102,23SU2400038
2084,23SU2400040
1676,23SU2400044
1098,23SU2400045
1762,23SU2400048
2040,23SU2400052
1468,23SU2400063
1030,23SU2400066
737,23SU2400069
747,23SU2400073
1993,23SU2400077
1961,23SU2400085
1048,23SU2400087
1100,23SU2400092
1776,23SU2400093
1808,23sv2130015
2119,23u2340011
1282,24AP0010001
1285,24AP0010002
1733,24AP0010006
2225,24AP0020006
2223,24ap0020007
1737,24AP0020007
1734,24AP0030001
2001,24ar9010005
694,24AU0010002
26,24AU0010004
1379,24AU0010006
67,24AU0010010
1670,24AU00100151
112,24AU0010016
557,24AU0010030
1161,24AU0010035
986,24AU0010038
681,24au0010042
1890,24au0010044
843,24AU0010049
400,24au0010053
1014,24AU0010060
798,24AU0010067
715,24AU0010068
1224,24AU0010071
659,24AU0010072
827,24AU0010073
830,24AU0010077
1929,24AU0010081
720,24AU0010084
799,24AU0010087
656,24AU0010094
666,24AU0010096
1109,24AU0010099
825,24AU0010100
1475,24AU0010101
1204,24AU0010102
1313,24AU0010106
945,24AU0010108
572,24AU0010113
587,24AU0010116
1351,24AU0010119
950,24AU0010126
675,24AU0010129
404,24AU0010131
2276,24AU0010132
677,24AU0010135
618,24AU0010136
1042,24AU0010140
1051,24AU0010146
2275,24au0010148
384,24AU0010148
2274,24au0010149
1867,24AU0010153
948,24au0010154
1631,24AU0010158
752,24AU0020001
679,24AU0020002
804,24AU0020003
685,24AU0020004
1199,24AU0020007
947,24AU0020012
816,24AU0020015
749,24AU0020016
11,24AU0020018
692,24AU0020027
683,24AU0020032
1570,24AU0020045
2205,24au0020050
105,24AU0020052
897,24AU0020061
1353,24au0020062
898,24AU0020063
938,24AU0020071
1707,24AU0020072
815,24AU0020073
559,24AU0020077
960,24AU0020081
912,24AU0020084
193,24AU0020085
896,24AU0020088
955,24AU0020089
546,24AU0020092
1022,24AU0020096
584,24AU0020099
1347,24AU0020106
131,24AU0020108
826,24AU0020113
2159,24AU0020116
616,24au0020117
1228,24AU0020119
1556,24AU0020121
202,24AU0020126
1352,24AU0020134
1422,24C02170026
820,24CP2160002
2202,24CP2160003
1443,24CP2160007
824,24CP2160008
846,24CP2160014
506,24CP2160020
836,24CP2160023
1272,24CP2160024
1271,24CP2160025
295,24cp2160031
1013,24CP2160036
1446,24CP2160037
879,24CP2160038
445,24CP2160043
1444,24CP2160045
499,24CP2160046
497,24CP2170002
1254,24CP2170003
1186,24CP2170004
684,24CP2170005
1728,24CP2170007
2204,24CP2170009
1005,24CP2170015
501,24CP2170016
682,24CP2170017
1080,24CP2170018
498,24Cp2170020
2203,24CP2170022
1010,24CP2170025
1966,24cp2170027
1181,24CP2180005
1179,24CP2180006
1405,24CP2180007
1296,24CP2180009
1730,24CP2180011
1007,24CP2180013
1183,24CP2180015
891,24CP2180018
970,24CP2180019
1963,24CP2180025
738,24CP2180028
745,24CP2180032
492,24CP2180033
1965,24CP2180034
1496,24CP2180036
760,24CP2180040
343,24CP2190003
340,24CP2190004
348,24CP2190010
149,24CP2190013
2145,24CP2190015
570,24CP2190019
588,24CP2190021
1336,24CP2210007
2296,24CP2210010
120,24CP2210012
121,24CP2210013
117,24CP2210018
962,24CU030073
2187,24cu0310001
464,24CU0310003
371,24CU0310007
2211,24cu031001
141,24CU0310010
1170,24CU0310013
1006,24CU0310016
899,24CU0310017
56,24CU0310019
1140,24CU0310020
115,24CU0310024
1143,24CU0310026
212,24CU0310028
54,24CU0310029
1742,24CU0310030
1741,24CU0310031
275,24cu0310034
233,24CU0310035
253,24CU0310039
1134,24CU0310040
823,24CU0310043
818,24CU0310044
93,24CU0310045
887,24CU0310046
208,24CU0310047
469,24CU0310049
1873,24CU0310050
204,24CU0310052
564,24CU0310053
205,24CU0310060
1436,24CU0310065
736,24CU0310066
1428,24CU0310069
427,24CU0310077
1325,24CU0310085
86,24CU0310090
42,24CU0310091
800,24CU0310092
194,24CU0310096
1368,24CU0310097
1176,24CU0310104
1882,24CU0310105
992,24CU0310108
1035,24CU0310110
592,24cu0310111
585,24CU0310113
321,24CU0310116
1011,24CU0310117
793,24CU0310118
1234,24CU0310123
320,24CU0310124
1792,24CU0310132
1473,24CU0310133
1463,24CU0310134
2096,24cu0310135
577,24CU0310135
850,24CU0310137
845,24CU0310139
852,24cU0310143
853,24CU0310143
1235,24CU0310144
519,24CU0310145
1472,24CU0310146
1503,24CU0310148
544,24CU0310149
709,24CU0310151
429,24CU0310153
522,24CU0310157
515,24CU0310158
856,24CU0310168
847,24CU0310172
1791,24CU0310177
2316,24CU0310178
160,24CU0310185
1255,24CU0310186
713,24CU0310187
1242,24CU0310188
1703,24CU0310194
1141,24CU0310196
486,24CU0310206
456,24CU0310214
1618,24CU0310216
1616,24CU0310221
1617,24CU0310224
661,24CU0310225
678,24CU0310228
1249,24CU0310230
1887,24CU0310231
481,24cu0310234
2131,24cu0310235
376,24CU0310235
269,24CU0310236
491,24CU0310237
2324,24cu0310240
1504,24CU0310240
966,24CU0310241
1008,24CU0310248
1076,24cu0310249
2323,24CU0310249
2020,24cu0310251
2322,24cu0310252
1699,24CU0310252
1445,24CU0310253
1240,24CU0310257
910,24CU0310264
641,24CU0310266
645,24cu0310267
1133,24CU0320001
1594,24CU0320003
903,24CU0320005
17,24CU0320006
784,24CU0320009
1137,24CU0320010
1130,24CU0320011
914,24CU0320012
1573,24CU0320013
695,24CU0320014
171,24CU0320015
48,24CU0320016
2078,24CU0320017
941,24CU0320018
75,24CU0320019
908,24CU0320023
1277,24CU0320024
1138,24CU0320026
1129,24CU0320027
909,24CU0320028
74,24CU0320029
680,24CU0320031
382,24CU0320034
73,24CU0320036
2012,24CU0320037
68,24CU0320038
173,24CU0320040
201,24CU0320041
900,24CU0320042
783,24CU0320043
504,24CU0320047
229,24CU0320048
18,24CU0320049
14,24CU0320053
15,24CU0320054
44,24CU0320056
1000,24CU0320057
280,24CU0320059
835,24CU0320062
972,24CU0320063
1237,24CU0320064
840,24CU0320065
1577,24CU0320068
1248,24CU0320069
1110,24CU0320070
1361,24CU0320071
1576,24CU0320072
832,24CU0320077
1155,24CU0320078
1187,24CU0320083
